title,author,publisher,library,provider,platform,image_url,isbn,goods_id
납득되는 몰상식한 아이디어,송재원,토네이도,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801158513253/M4801158513253.jpg,,4801158513253
24세 정신과 영수증,정신,이야기장수,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801194184172/M4801194184172.jpg,,4801194184172
40세 정신과 영수증,정신,이야기장수,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801194184189/M4801194184189.jpg,,4801194184189
팔란티어 시대가 온다,변우철,한국경제신문,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808947501873/M4808947501873.jpg,,4808947501873
공허의 시대,조남호,웅진지식하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/480D250975210/M480D250975210.jpg,,480
"한 번쯤은, 서양미술사",김찬용,땡스B,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801129715488/M4801129715488.jpg,,4801129715488
내가 먼저 나를 아껴야 남도 나를 아껴준다,이지영,스몰빅라이프,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801191731836/M4801191731836.jpg,,4801191731836
조용한 회복,박재연,한빛라이프,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801194725207/M4801194725207.jpg,,4801194725207
노인을 위한 나라는 없다,코맥 매카시,문학동네,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801141602575/M4801141602575.jpg,,4801141602575
중독은 뇌를 어떻게 바꾸는가,저드슨 브루어,알에이치코리아,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808925573373/M4808925573373.jpg,,4808925573373
언제라도 동해,편집부,푸른향기,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808967822422/M4808967822422.jpg,,4808967822422
영유아 영어교육의 모든것! 알고 시작하자! : 영포자 엄마도 가능한 엄마표 영어!,고현경,이페이지,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/153910959/M,,153910959
엄마의 말 공부,이임숙,카시오페아,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801168273215/M4801168273215.jpg,,4801168273215
