title,author,publisher,library,image_url,isbn,provider,platform
책읽는 고래 고전 4 - 표해록(바다 건너 물길 따라 붓으로 그려 낸 명나라 풍경) [전자책],"최부, 김충수",웅진주니어,서울도서관 (API),,,,Mixed
사회계약론 (펭귄 클래식 시리즈 -86) [전자책],장 자크 루소,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
부동산 미래쇼크 (강남불패 신화를 뒤흔드는 부동산 패러다임의 변화) [전자책],박원갑,리더스북,서울도서관 (API),,,,Mixed
클래식을 좋아하세요? [전자책],김순배,갤리온,서울도서관 (API),,,,Mixed
정글북 1 (펭귄 클래식 시리즈 -87) [전자책],러디어드 키플링,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
정글북 2 (펭귄 클래식 시리즈 - 88) [전자책],러디어드 키플링,펭귄클래식(Penguin Classics),서울도서관 (API),,,,Mixed
우리는 마이크로 소사이어티로 간다 [전자책],팔란티리 2020,웅진윙스,서울도서관 (API),,,,Mixed
메이드 인 블루 [전자책],송추향,갤리온,서울도서관 (API),,,,Mixed
안의 성 [전자책],최찬식,문학에디션뿔,서울도서관 (API),,,,Mixed
딜리셔스 샌드위치 [전자책],유병률,웅진윙스,서울도서관 (API),,,,Mixed
박경림의 사람 [전자책],박경림,리더스북,서울도서관 (API),,,,Mixed
퉁소 소리와 용 [전자책],한상수,교학사,서울도서관 (API),,,,Mixed
딸랑새 [전자책],한상수,교학사,서울도서관 (API),,,,Mixed
구렁이 아내 [전자책],한상수,교학사,서울도서관 (API),,,,Mixed
백 냥으로 양반이 된 사람 [전자책],한상수,교학사,서울도서관 (API),,,,Mixed
은혜를 갚은 다람쥐 [전자책],한상수,교학사,서울도서관 (API),,,,Mixed
엄마 안녕 [전자책],엘리자베스 쵤러,교학사,서울도서관 (API),,,,Mixed
로라에게 생긴 일 [전자책],조 외슬랑,교학사,서울도서관 (API),,,,Mixed
아기가 된 우리 형 [전자책],브리짓 페스킨,교학사,서울도서관 (API),,,,Mixed
